NoEstado,Estado,NoMunicipio,Municipio,NoCiudad,Ciudad/Colonia
13,Hidalgo,40,La Mision,1,La Mision
13,Hidalgo,41,Mixquiahuala de Juarez,1,Mixquiahuala
13,Hidalgo,42,Molango de Escamilla,1,Molango
13,Hidalgo,43,Nicolas Flores,1,Nicolas Flores
13,Hidalgo,44,Nopala de Villagran,1,Nopala
13,Hidalgo,45,Omitlan de Juarez,1,Omitlan de Juarez
13,Hidalgo,46,San Felipe Orizatlan,1,Orizatlan
13,Hidalgo,47,Pacula,1,Pacula
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto
13,Hidalgo,49,Pisaflores,1,Pisaflores
13,Hidalgo,50,Progreso de Obregon,1,Progreso
13,Hidalgo,51,Mineral de la Reforma,1,Pachuquilla
13,Hidalgo,52,San Agustin Tlaxiaca,1,San Agustin Tlaxiaca
13,Hidalgo,53,San Bartolo Tutotepec,1,San Bartolo Tutotepec
13,Hidalgo,54,San Salvador,1,San Salvador
13,Hidalgo,55,Santiago de Anaya,1,Santiago de Anaya
13,Hidalgo,56,Santiago Tulantepec de Lugo Guerrero,1,Santiago Tulantepec
13,Hidalgo,57,Singuilucan,1,Singuilucan
13,Hidalgo,58,Tasquillo,1,Tasquillo
13,Hidalgo,59,Tecozautla,1,Tecozautla
13,Hidalgo,60,Tenango de Doria,1,Tenango de Doria
13,Hidalgo,61,Tepeapulco,1,Tepeapulco
13,Hidalgo,62,Tepehuacan de Guerrero,1,Tepehuacan de Guerrero
13,Hidalgo,63,Tepeji del Rio de Ocampo,1,Tepeji del Rio de Ocampo
13,Hidalgo,64,Tepetitlan,1,Tepetitlan
13,Hidalgo,65,Tetepango,1,Tetepango
13,Hidalgo,66,Villa de Tezontepec,1,Tezontepec
13,Hidalgo,67,Tezontepec de Aldama,1,Tezontepec de Aldama
13,Hidalgo,68,Tianguistengo,1,Tianguistengo
13,Hidalgo,69,Tizayuca,1,Tizayuca
13,Hidalgo,70,Tlahuelilpan,1,Tlahuelilpan
13,Hidalgo,71,Tlahuiltepa,1,Tlahuiltepa
13,Hidalgo,72,Tlanalapa,1,Tlanalapa
13,Hidalgo,73,Tlanchinol,1,Tlanchinol
13,Hidalgo,74,Tlaxcoapan,1,Tlaxcoapan
13,Hidalgo,75,Tolcayuca,1,Tolcayuca
13,Hidalgo,76,Tula de Allende,1,Tula de Allende
13,Hidalgo,77,Tulancingo de Bravo,1,Tulancingo
13,Hidalgo,78,Xochiatipan,1,Xochiatipan
13,Hidalgo,79,Xochicoatlan,1,Xochicoatlan
13,Hidalgo,80,Yahualica,1,Yahualica
13,Hidalgo,81,Zacualtipan de angeles,1,Zacualtipan
13,Hidalgo,82,Zapotlan de Juarez,1,Zapotlan de Juarez
13,Hidalgo,83,Zempoala,1,Zempoala
13,Hidalgo,84,Zimapan,1,Zimapan
14,Jalisco,1,Acatic,1,Acatic
14,Jalisco,2,Acatlan de Juarez,1,Acatlan de Juarez
14,Jalisco,3,Ahualulco de Mercado,1,Ahualulco de Mercado
14,Jalisco,4,Amacueca,1,Amacueca
14,Jalisco,5,Amatitan,1,Amatitan
14,Jalisco,6,Ameca,1,Ameca
14,Jalisco,7,San Juanito de Escobedo,1,San Juanito de Escobedo
14,Jalisco,8,Arandas,1,Arandas
14,Jalisco,9,El Arenal,1,El Arenal
14,Jalisco,10,Atemajac de Brizuela,1,Atemajac de Brizuela
14,Jalisco,11,Atengo,1,Atengo
14,Jalisco,12,Atenguillo,1,Atenguillo
14,Jalisco,13,Atotonilco el Alto,1,Atotonilco el Alto
14,Jalisco,14,Atoyac,1,Atoyac
14,Jalisco,15,Autlan de Navarro,1,Autlan de Navarro
14,Jalisco,16,Ayotlan,1,Ayotlan
14,Jalisco,17,Ayutla,1,Ayutla
14,Jalisco,18,La Barca,1,La Barca
14,Jalisco,19,Bolaños,1,Bolaños
14,Jalisco,20,Cabo Corrientes,1,El Tuito
14,Jalisco,21,Casimiro Castillo,1,La Resolana
14,Jalisco,22,Cihuatlan,1,Cihuatlan
14,Jalisco,23,Zapotlan el Grande,1,Ciudad Guzman
14,Jalisco,24,Cocula,1,Cocula
14,Jalisco,25,Colotlan,1,Colotlan
14,Jalisco,26,Concepcion de Buenos Aires,1,Concepcion de Buenos Aires
14,Jalisco,27,Cuautitlan de Garcia Barragan,1,Cuautitlan de Garcia Barragan
14,Jalisco,28,Cuautla,1,Cuautla
14,Jalisco,29,Cuquio,1,Cuquio
14,Jalisco,30,Chapala,1,Chapala
14,Jalisco,31,Chimaltitan,1,Chimaltitan
14,Jalisco,32,Chiquilistlan,1,Chiquilistlan
14,Jalisco,33,Degollado,1,Degollado
14,Jalisco,34,Ejutla,1,Ejutla
14,Jalisco,35,Encarnacion de Diaz,1,Encarnacion de Diaz
14,Jalisco,36,Etzatlan,1,Etzatlan
14,Jalisco,37,El Grullo,1,El Grullo
14,Jalisco,38,Guachinango,1,Guachinango
14,Jalisco,39,Guadalajara,1,Guadalajara
14,Jalisco,40,Hostotipaquillo,1,Hostotipaquillo
14,Jalisco,41,Huejucar,1,Huejucar
14,Jalisco,42,Huejuquilla el Alto,1,Huejuquilla el Alto
14,Jalisco,43,La Huerta,1,La Huerta
14,Jalisco,44,Ixtlahuacan de los Membrillos,1,Ixtlahuacan de los Membrillos
14,Jalisco,45,Ixtlahuacan del Rio,1,Ixtlahuacan del Rio
14,Jalisco,46,Jalostotitlan,1,Jalostotitlan
14,Jalisco,47,Jamay,1,Jamay
14,Jalisco,48,Jesus Maria,1,Jesus Maria
14,Jalisco,49,Jilotlan de los Dolores,1,Jilotlan de los Dolores
14,Jalisco,50,Jocotepec,1,Jocotepec
14,Jalisco,51,Juanacatlan,1,Juanacatlan
14,Jalisco,52,Juchitlan,1,Juchitlan
14,Jalisco,53,Lagos de Moreno,1,Lagos de Moreno
14,Jalisco,54,El Limon,1,El Limon
14,Jalisco,55,Magdalena,1,Magdalena
14,Jalisco,56,Santa Maria del Oro,1,Santa Maria del Oro
14,Jalisco,57,La Manzanilla de la Paz,1,La Manzanilla de la Paz
14,Jalisco,58,Mascota,1,Mascota
14,Jalisco,59,Mazamitla,1,Mazamitla
14,Jalisco,60,Mexticacan,1,Mexticacan
14,Jalisco,61,Mezquitic,1,Mezquitic
14,Jalisco,62,Mixtlan,1,Mixtlan
14,Jalisco,63,Ocotlan,1,Ocotlan
14,Jalisco,64,Ojuelos de Jalisco,1,Ojuelos de Jalisco
14,Jalisco,65,Pihuamo,1,Pihuamo
14,Jalisco,66,Poncitlan,1,Poncitlan
14,Jalisco,67,Puerto Vallarta,1,Puerto Vallarta
14,Jalisco,68,Villa Purificacion,1,Villa Purificacion
14,Jalisco,69,Quitupan,1,Quitupan
14,Jalisco,70,El Salto,1,El Salto
14,Jalisco,71,San Cristobal de la Barranca,1,San Cristobal de la Barranca
14,Jalisco,72,San Diego de Alejandria,1,San Diego de Alejandria
14,Jalisco,73,San Juan de los Lagos,1,San Juan de los Lagos
14,Jalisco,74,San Julian,1,San Julian
14,Jalisco,75,San Marcos,1,San Marcos
14,Jalisco,76,San Martin de Bolaños,1,San Martin de Bolaños
14,Jalisco,77,San Martin Hidalgo,1,San Martin Hidalgo
14,Jalisco,78,San Miguel el Alto,1,San Miguel el Alto
14,Jalisco,79,Gomez Farias,1,San Sebastian del Sur
14,Jalisco,80,San Sebastian del Oeste,1,San Sebastian del Oeste
14,Jalisco,81,Santa Maria de los angeles,1,Santa Maria de los angeles
14,Jalisco,82,Sayula,1,Sayula
14,Jalisco,83,Tala,1,Tala
14,Jalisco,84,Talpa de Allende,1,Talpa de Allende
14,Jalisco,85,Tamazula de Gordiano,1,Tamazula de Gordiano
14,Jalisco,86,Tapalpa,1,Tapalpa
14,Jalisco,87,Tecalitlan,1,Tecalitlan
14,Jalisco,88,Tecolotlan,1,Tecolotlan
14,Jalisco,89,Techaluta de Montenegro,1,Techaluta de Montenegro
14,Jalisco,90,Tenamaxtlan,1,Tenamaxtlan
14,Jalisco,91,Teocaltiche,1,Teocaltiche
14,Jalisco,92,Teocuitatlan de Corona,1,Teocuitatlan de Corona
14,Jalisco,93,Tepatitlan de Morelos,1,Tepatitlan de Morelos
14,Jalisco,94,Tequila,1,Tequila
14,Jalisco,95,Teuchitlan,1,Teuchitlan
14,Jalisco,96,Tizapan el Alto,1,Tizapan el Alto
14,Jalisco,97,Tlajomulco de Zuñiga,1,Tlajomulco de Zuñiga
14,Jalisco,98,San Pedro Tlaquepaque,1,Tlaquepaque
14,Jalisco,99,Toliman,1,Toliman
14,Jalisco,100,Tomatlan,1,Tomatlan
14,Jalisco,101,Tonala,1,Tonala
14,Jalisco,102,Tonaya,1,Tonaya
14,Jalisco,103,Tonila,1,Tonila
14,Jalisco,104,Totatiche,1,Totatiche
14,Jalisco,105,Tototlan,1,Tototlan
14,Jalisco,106,Tuxcacuesco,1,Tuxcacuesco
14,Jalisco,107,Tuxcueca,1,Tuxcueca
14,Jalisco,108,Tuxpan,1,Tuxpan
14,Jalisco,109,Union de San Antonio,1,Union de San Antonio
14,Jalisco,110,Union de Tula,1,Union de Tula
14,Jalisco,111,Valle de Guadalupe,1,Valle de Guadalupe
14,Jalisco,112,Valle de Juarez,1,Valle de Juarez
14,Jalisco,113,San Gabriel,1,San Gabriel
14,Jalisco,114,Villa Corona,1,Villa Corona
14,Jalisco,115,Villa Guerrero,1,Villa Guerrero
14,Jalisco,116,Villa Hidalgo,1,Villa Hidalgo
14,Jalisco,117,Cañadas de Obregon,1,Cañadas de Obregon
14,Jalisco,118,Yahualica de Gonzalez Gallo,1,Yahualica de Gonzalez Gallo
14,Jalisco,119,Zacoalco de Torres,1,Zacoalco de Torres
14,Jalisco,120,Zapopan,1,Zapopan
14,Jalisco,121,Zapotiltic,1,Zapotiltic
14,Jalisco,122,Zapotitlan de Vadillo,1,Zapotitlan de Vadillo
14,Jalisco,123,Zapotlan del Rey,1,Zapotlan del Rey
14,Jalisco,124,Zapotlanejo,1,Zapotlanejo
14,Jalisco,125,San Ignacio Cerro Gordo,1,San Ignacio Cerro Gordo
15,Mexico,1,Acambay de Ruiz Castañeda,1,Villa de Acambay de Ruiz Castañeda
15,Mexico,2,Acolman,1,Acolman de Nezahualcoyotl
15,Mexico,3,Aculco,1,Aculco de Espinoza
15,Mexico,4,Almoloya de Alquisiras,1,Almoloya de Alquisiras
15,Mexico,5,Almoloya de Juarez,1,Villa de Almoloya de Juarez
15,Mexico,6,Almoloya del Rio,1,Almoloya del Rio
15,Mexico,7,Amanalco,1,Amanalco de Becerra
15,Mexico,8,Amatepec,1,Amatepec
15,Mexico,9,Amecameca,1,Amecameca de Juarez
15,Mexico,10,Apaxco,1,Apaxco de Ocampo
15,Mexico,11,Atenco,1,San Salvador Atenco
15,Mexico,12,Atizapan,1,Santa Cruz Atizapan
15,Mexico,13,Atizapan de Zaragoza,1,Ciudad Lopez Mateos
15,Mexico,14,Atlacomulco,1,Atlacomulco de Fabela
15,Mexico,15,Atlautla,1,Atlautla de Victoria
15,Mexico,16,Axapusco,1,Axapusco
15,Mexico,17,Ayapango,1,Ayapango de Gabriel Ramos M.
15,Mexico,18,Calimaya,1,Calimaya de Diaz Gonzalez
15,Mexico,19,Capulhuac,1,Capulhuac de Mirafuentes
15,Mexico,20,Coacalco de Berriozabal,1,San Francisco Coacalco
15,Mexico,21,Coatepec Harinas,1,Coatepec Harinas
15,Mexico,22,Cocotitlan,1,Cocotitlan
15,Mexico,23,Coyotepec,1,Coyotepec
15,Mexico,24,Cuautitlan,1,Cuautitlan
15,Mexico,25,Chalco,1,Chalco de Diaz Covarrubias
15,Mexico,26,Chapa de Mota,1,Chapa de Mota
15,Mexico,27,Chapultepec,1,Chapultepec
15,Mexico,28,Chiautla,1,Chiautla
15,Mexico,29,Chicoloapan,1,Chicoloapan de Juarez
15,Mexico,30,Chiconcuac,1,Chiconcuac de Juarez
15,Mexico,31,Chimalhuacan,1,Chimalhuacan
15,Mexico,32,Donato Guerra,1,Villa Donato Guerra
15,Mexico,33,Ecatepec de Morelos,1,Ecatepec de Morelos
15,Mexico,34,Ecatzingo,1,Ecatzingo de Hidalgo
15,Mexico,35,Huehuetoca,1,Huehuetoca
15,Mexico,36,Hueypoxtla,1,Hueypoxtla
15,Mexico,37,Huixquilucan,1,Huixquilucan de Degollado
15,Mexico,38,Isidro Fabela,1,Tlazala de Fabela
15,Mexico,39,Ixtapaluca,1,Ixtapaluca
15,Mexico,40,Ixtapan de la Sal,1,Ixtapan de la Sal
15,Mexico,41,Ixtapan del Oro,1,Ixtapan del Oro
15,Mexico,42,Ixtlahuaca,1,Ixtlahuaca de Rayon
15,Mexico,43,Xalatlaco,1,Xalatlaco
15,Mexico,44,Jaltenco,1,Jaltenco
15,Mexico,45,Jilotepec,1,Jilotepec de Molina Enriquez
15,Mexico,46,Jilotzingo,1,Santa Ana Jilotzingo
15,Mexico,47,Jiquipilco,1,Jiquipilco
15,Mexico,48,Jocotitlan,1,Ciudad de Jocotitlan
15,Mexico,49,Joquicingo,1,Joquicingo de Leon Guzman
15,Mexico,50,Juchitepec,1,Juchitepec de Mariano Rivapalacio
15,Mexico,51,Lerma,1,Lerma de Villada
15,Mexico,52,Malinalco,1,Malinalco
15,Mexico,53,Melchor Ocampo,1,Melchor Ocampo
15,Mexico,54,Metepec,1,Metepec
15,Mexico,55,Mexicaltzingo,1,San Mateo Mexicaltzingo
15,Mexico,56,Morelos,1,San Bartolo Morelos
15,Mexico,57,Naucalpan de Juarez,1,Naucalpan de Juarez
15,Mexico,58,Nezahualcoyotl,1,Ciudad Nezahualcoyotl
15,Mexico,59,Nextlalpan,1,Santa Ana Nextlalpan
15,Mexico,60,Nicolas Romero,1,Ciudad Nicolas Romero
15,Mexico,61,Nopaltepec,1,Nopaltepec
15,Mexico,62,Ocoyoacac,1,Ocoyoacac
15,Mexico,63,Ocuilan,1,Ocuilan de Arteaga
15,Mexico,64,El Oro,1,El Oro de Hidalgo
15,Mexico,65,Otumba,1,Otumba de Gomez Farias
15,Mexico,66,Otzoloapan,1,Otzoloapan
15,Mexico,67,Otzolotepec,1,Villa Cuauhtemoc
15,Mexico,68,Ozumba,1,Ozumba de Alzate
15,Mexico,69,Papalotla,1,Papalotla
15,Mexico,70,La Paz,1,Los Reyes Acaquilpan
15,Mexico,71,Polotitlan,1,Polotitlan de la Ilustracion
15,Mexico,72,Rayon,1,Santa Maria Rayon
15,Mexico,73,San Antonio la Isla,1,San Antonio la Isla
15,Mexico,74,San Felipe del Progreso,1,San Felipe del Progreso
15,Mexico,75,San Martin de las Piramides,1,San Martin de las Piramides
15,Mexico,76,San Mateo Atenco,1,San Mateo Atenco
15,Mexico,77,San Simon de Guerrero,1,San Simon de Guerrero
15,Mexico,78,Santo Tomas,1,Santo Tomas de los Platanos
15,Mexico,79,Soyaniquilpan de Juarez,1,San Francisco Soyaniquilpan
15,Mexico,80,Sultepec,1,Sultepec de Pedro Ascencio de Alquisiras
15,Mexico,81,Tecamac,1,Tecamac de Felipe Villanueva
15,Mexico,82,Tejupilco,1,Tejupilco de Hidalgo
15,Mexico,83,Temamatla,1,Temamatla
15,Mexico,84,Temascalapa,1,Temascalapa
15,Mexico,85,Temascalcingo,1,Temascalcingo de Jose Maria Velasco
15,Mexico,86,Temascaltepec,1,Temascaltepec de Gonzalez
15,Mexico,87,Temoaya,1,Temoaya
15,Mexico,88,Tenancingo,1,Tenancingo de Degollado
15,Mexico,89,Tenango del Aire,1,Tenango del Aire
15,Mexico,90,Tenango del Valle,1,Tenango de Arista
15,Mexico,91,Teoloyucan,1,Teoloyucan
15,Mexico,92,Teotihuacan,1,Teotihuacan de Arista
15,Mexico,93,Tepetlaoxtoc,1,Tepetlaoxtoc de Hidalgo
15,Mexico,94,Tepetlixpa,1,Tepetlixpa
15,Mexico,95,Tepotzotlan,1,Tepotzotlan
15,Mexico,96,Tequixquiac,1,Tequixquiac
15,Mexico,97,Texcaltitlan,1,Texcaltitlan
15,Mexico,98,Texcalyacac,1,San Mateo Texcalyacac
15,Mexico,99,Texcoco,1,Texcoco de Mora
15,Mexico,100,Tezoyuca,1,Tezoyuca
15,Mexico,101,Tianguistenco,1,Santiago Tianguistenco de Galeana
15,Mexico,102,Timilpan,1,San Andres Timilpan
15,Mexico,103,Tlalmanalco,1,Tlalmanalco de Velazquez
15,Mexico,104,Tlalnepantla de Baz,1,Tlalnepantla
15,Mexico,105,Tlatlaya,1,Tlatlaya
15,Mexico,106,Toluca,1,Toluca de Lerdo
15,Mexico,107,Tonatico,1,Tonatico
15,Mexico,108,Tultepec,1,Tultepec
15,Mexico,109,Tultitlan,1,Tultitlan de Mariano Escobedo
15,Mexico,110,Valle de Bravo,1,Valle de Bravo
15,Mexico,111,Villa de Allende,1,San Jose Villa de Allende
15,Mexico,112,Villa del Carbon,1,Villa del Carbon
15,Mexico,113,Villa Guerrero,1,Villa Guerrero
15,Mexico,114,Villa Victoria,1,Villa Victoria
15,Mexico,115,Xonacatlan,1,Xonacatlan
15,Mexico,116,Zacazonapan,1,Zacazonapan
15,Mexico,117,Zacualpan,1,Zacualpan
15,Mexico,118,Zinacantepec,1,San Miguel Zinacantepec
15,Mexico,119,Zumpahuacan,1,Zumpahuacan
15,Mexico,120,Zumpango,1,Zumpango de Ocampo
15,Mexico,121,Cuautitlan Izcalli,1,Cuautitlan Izcalli
15,Mexico,122,Valle de Chalco Solidaridad,1,Xico
15,Mexico,123,Luvianos,1,Villa Luvianos
15,Mexico,124,San Jose del Rincon,1,San Jose del Rincon Centro
15,Mexico,125,Tonanitla,1,Santa Maria Tonanitla
16,Michoacan de Ocampo,1,Acuitzio,1,Acuitzio del Canje
16,Michoacan de Ocampo,2,Aguililla,1,Aguililla
16,Michoacan de Ocampo,3,alvaro Obregon,1,alvaro Obregon
16,Michoacan de Ocampo,4,Angamacutiro,1,Angamacutiro de la Union
16,Michoacan de Ocampo,5,Angangueo,1,Mineral de Angangueo
16,Michoacan de Ocampo,6,Apatzingan,1,Apatzingan de la Constitucion
16,Michoacan de Ocampo,7,Aporo,1,Aporo
16,Michoacan de Ocampo,8,Aquila,1,Aquila
16,Michoacan de Ocampo,9,Ario,1,Ario de Rosales
16,Michoacan de Ocampo,10,Arteaga,1,Arteaga
16,Michoacan de Ocampo,11,Briseñas,1,Briseñas de Matamoros
16,Michoacan de Ocampo,12,Buenavista,1,Buenavista Tomatlan
16,Michoacan de Ocampo,13,Caracuaro,1,Caracuaro de Morelos
16,Michoacan de Ocampo,14,Coahuayana,1,Coahuayana de Hidalgo
16,Michoacan de Ocampo,15,Coalcoman de Vazquez Pallares,1,Coalcoman de Vazquez Pallares
16,Michoacan de Ocampo,16,Coeneo,1,Coeneo de la Libertad
16,Michoacan de Ocampo,17,Contepec,1,Contepec
16,Michoacan de Ocampo,18,Copandaro,1,Copandaro de Galeana
16,Michoacan de Ocampo,19,Cotija,1,Cotija de la Paz
16,Michoacan de Ocampo,20,Cuitzeo,1,Cuitzeo del Porvenir
16,Michoacan de Ocampo,21,Charapan,1,Charapan
16,Michoacan de Ocampo,22,Charo,1,Charo
16,Michoacan de Ocampo,23,Chavinda,1,Chavinda
16,Michoacan de Ocampo,24,Cheran,1,Cheran
16,Michoacan de Ocampo,25,Chilchota,1,Chilchota
16,Michoacan de Ocampo,26,Chinicuila,1,Villa Victoria
16,Michoacan de Ocampo,27,Chucandiro,1,Chucandiro
16,Michoacan de Ocampo,28,Churintzio,1,Churintzio
16,Michoacan de Ocampo,29,Churumuco,1,Churumuco de Morelos
16,Michoacan de Ocampo,30,Ecuandureo,1,Ecuandureo
16,Michoacan de Ocampo,31,Epitacio Huerta,1,Epitacio Huerta
16,Michoacan de Ocampo,32,Erongaricuaro,1,Erongaricuaro
16,Michoacan de Ocampo,33,Gabriel Zamora,1,Lombardia
16,Michoacan de Ocampo,34,Hidalgo,1,Ciudad Hidalgo
16,Michoacan de Ocampo,35,La Huacana,1,La Huacana
16,Michoacan de Ocampo,36,Huandacareo,1,Huandacareo
16,Michoacan de Ocampo,37,Huaniqueo,1,Huaniqueo de Morales
16,Michoacan de Ocampo,38,Huetamo,1,Huetamo de Nuñez
16,Michoacan de Ocampo,39,Huiramba,1,Huiramba
16,Michoacan de Ocampo,40,Indaparapeo,1,Indaparapeo
16,Michoacan de Ocampo,41,Irimbo,1,Irimbo
16,Michoacan de Ocampo,42,Ixtlan,1,Ixtlan de los Hervores
16,Michoacan de Ocampo,43,Jacona,1,Jacona de Plancarte
16,Michoacan de Ocampo,44,Jimenez,1,Villa Jimenez
16,Michoacan de Ocampo,45,Jiquilpan,1,Jiquilpan de Juarez
16,Michoacan de Ocampo,46,Juarez,1,Benito Juarez
16,Michoacan de Ocampo,47,Jungapeo,1,Jungapeo de Juarez
16,Michoacan de Ocampo,48,Lagunillas,1,Lagunillas
16,Michoacan de Ocampo,49,Madero,1,Villa Madero
16,Michoacan de Ocampo,50,Maravatio,1,Maravatio de Ocampo
16,Michoacan de Ocampo,51,Marcos Castellanos,1,San Jose de Gracia
16,Michoacan de Ocampo,52,Lazaro Cardenas,1,Ciudad Lazaro Cardenas
16,Michoacan de Ocampo,53,Morelia,1,Morelia
16,Michoacan de Ocampo,54,Morelos,1,Villa Morelos
16,Michoacan de Ocampo,55,Mugica,1,Nueva Italia de Ruiz
16,Michoacan de Ocampo,56,Nahuatzen,1,Nahuatzen
16,Michoacan de Ocampo,57,Nocupetaro,1,Nocupetaro de Morelos
16,Michoacan de Ocampo,58,Nuevo Parangaricutiro,1,Nuevo San Juan Parangaricutiro
16,Michoacan de Ocampo,59,Nuevo Urecho,1,Nuevo Urecho
16,Michoacan de Ocampo,60,Numaran,1,Numaran
16,Michoacan de Ocampo,61,Ocampo,1,Ocampo
16,Michoacan de Ocampo,62,Pajacuaran,1,Pajacuaran
16,Michoacan de Ocampo,63,Panindicuaro,1,Panindicuaro
16,Michoacan de Ocampo,64,Paracuaro,1,Paracuaro
16,Michoacan de Ocampo,65,Paracho,1,Paracho de Verduzco
16,Michoacan de Ocampo,66,Patzcuaro,1,Patzcuaro
16,Michoacan de Ocampo,67,Penjamillo,1,Penjamillo de Degollado
16,Michoacan de Ocampo,68,Periban,1,Periban de Ramos
16,Michoacan de Ocampo,69,La Piedad,1,La Piedad de Cabadas
16,Michoacan de Ocampo,70,Purepero,1,Purepero de Echaiz
16,Michoacan de Ocampo,71,Puruandiro,1,Puruandiro
16,Michoacan de Ocampo,72,Querendaro,1,Querendaro
16,Michoacan de Ocampo,73,Quiroga,1,Quiroga
16,Michoacan de Ocampo,74,Cojumatlan de Regules,1,Cojumatlan de Regules
16,Michoacan de Ocampo,75,Los Reyes,1,Los Reyes de Salgado
16,Michoacan de Ocampo,76,Sahuayo,1,Sahuayo de Morelos
16,Michoacan de Ocampo,77,San Lucas,1,San Lucas
16,Michoacan de Ocampo,78,Santa Ana Maya,1,Santa Ana Maya
16,Michoacan de Ocampo,79,Salvador Escalante,1,Santa Clara del Cobre
16,Michoacan de Ocampo,80,Senguio,1,Senguio
16,Michoacan de Ocampo,81,Susupuato,1,Susupuato de Guerrero
16,Michoacan de Ocampo,82,Tacambaro,1,Tacambaro de Codallos
16,Michoacan de Ocampo,83,Tancitaro,1,Tancitaro
16,Michoacan de Ocampo,84,Tangamandapio,1,Santiago Tangamandapio
16,Michoacan de Ocampo,85,Tangancicuaro,1,Tangancicuaro de Arista
16,Michoacan de Ocampo,86,Tanhuato,1,Tanhuato de Guerrero
16,Michoacan de Ocampo,87,Taretan,1,Taretan
16,Michoacan de Ocampo,88,Tarimbaro,1,Tarimbaro
16,Michoacan de Ocampo,89,Tepalcatepec,1,Tepalcatepec
16,Michoacan de Ocampo,90,Tingambato,1,Tingambato
16,Michoacan de Ocampo,91,Tingüindin,1,Tingüindin
16,Michoacan de Ocampo,92,Tiquicheo de Nicolas Romero,1,Tiquicheo
16,Michoacan de Ocampo,93,Tlalpujahua,1,Tlalpujahua de Rayon
16,Michoacan de Ocampo,94,Tlazazalca,1,Tlazazalca
16,Michoacan de Ocampo,95,Tocumbo,1,Tocumbo
16,Michoacan de Ocampo,96,Tumbiscatio,1,Tumbiscatio de Ruiz
16,Michoacan de Ocampo,97,Turicato,1,Turicato
16,Michoacan de Ocampo,98,Tuxpan,1,Tuxpan
16,Michoacan de Ocampo,99,Tuzantla,1,Tuzantla
16,Michoacan de Ocampo,100,Tzintzuntzan,1,Tzintzuntzan
16,Michoacan de Ocampo,101,Tzitzio,1,Tzitzio
16,Michoacan de Ocampo,102,Uruapan,1,Uruapan
16,Michoacan de Ocampo,103,Venustiano Carranza,1,Venustiano Carranza
16,Michoacan de Ocampo,104,Villamar,1,Villamar
16,Michoacan de Ocampo,105,Vista Hermosa,1,Vista Hermosa de Negrete
16,Michoacan de Ocampo,106,Yurecuaro,1,Yurecuaro
16,Michoacan de Ocampo,107,Zacapu,1,Zacapu
16,Michoacan de Ocampo,108,Zamora,1,Zamora de Hidalgo
16,Michoacan de Ocampo,109,Zinaparo,1,Zinaparo
16,Michoacan de Ocampo,110,Zinapecuaro,1,Zinapecuaro de Figueroa
16,Michoacan de Ocampo,111,Ziracuaretiro,1,Ziracuaretiro
16,Michoacan de Ocampo,112,Zitacuaro,1,Heroica Zitacuaro
16,Michoacan de Ocampo,113,Jose Sixto Verduzco,1,Pastor Ortiz
17,Morelos,1,Amacuzac,1,Amacuzac
17,Morelos,2,Atlatlahucan,1,Atlatlahucan
17,Morelos,3,Axochiapan,1,Axochiapan
17,Morelos,4,Ayala,1,Ciudad Ayala
17,Morelos,5,Coatlan del Rio,1,Coatlan del Rio
17,Morelos,6,Cuautla,1,Cuautla
17,Morelos,7,Cuernavaca,1,Cuernavaca
17,Morelos,8,Emiliano Zapata,1,Emiliano Zapata
17,Morelos,9,Huitzilac,1,Huitzilac
17,Morelos,10,Jantetelco,1,Jantetelco
17,Morelos,11,Jiutepec,1,Jiutepec
17,Morelos,12,Jojutla,1,Jojutla
17,Morelos,13,Jonacatepec,1,Jonacatepec
17,Morelos,14,Mazatepec,1,Mazatepec
17,Morelos,15,Miacatlan,1,Miacatlan
17,Morelos,16,Ocuituco,1,Ocuituco
17,Morelos,17,Puente de Ixtla,1,Puente de Ixtla
17,Morelos,18,Temixco,1,Temixco
17,Morelos,19,Tepalcingo,1,Tepalcingo
17,Morelos,20,Tepoztlan,1,Tepoztlan
17,Morelos,21,Tetecala,1,Tetecala
17,Morelos,22,Tetela del Volcan,1,Tetela del Volcan
17,Morelos,23,Tlalnepantla,1,Tlalnepantla
17,Morelos,24,Tlaltizapan de Zapata,1,Tlaltizapan
17,Morelos,25,Tlaquiltenango,1,Tlaquiltenango
17,Morelos,26,Tlayacapan,1,Tlayacapan
17,Morelos,27,Totolapan,1,Totolapan
17,Morelos,28,Xochitepec,1,Xochitepec
17,Morelos,29,Yautepec,1,Yautepec de Zaragoza
17,Morelos,30,Yecapixtla,1,Yecapixtla
17,Morelos,31,Zacatepec,1,Zacatepec de Hidalgo
17,Morelos,32,Zacualpan de Amilpas,1,Zacualpan de Amilpas
17,Morelos,33,Temoac,1,Temoac
18,Nayarit,1,Acaponeta,1,Acaponeta
18,Nayarit,2,Ahuacatlan,1,Ahuacatlan
18,Nayarit,3,Amatlan de Cañas,1,Amatlan de Cañas
18,Nayarit,4,Compostela,1,Compostela
18,Nayarit,5,Huajicori,1,Huajicori
18,Nayarit,6,Ixtlan del Rio,1,Ixtlan del Rio
18,Nayarit,7,Jala,1,Jala
18,Nayarit,8,Xalisco,1,Xalisco
18,Nayarit,9,Del Nayar,1,Jesus Maria
18,Nayarit,10,Rosamorada,1,Rosamorada
18,Nayarit,11,Ruiz,1,Ruiz
18,Nayarit,12,San Blas,1,San Blas
